I0723 14:27:59.190777       1 client.go:534] "Exiting proxyToRemote" connectionID=26
I0723 14:27:59.190960       1 client.go:507] "connection EOF" connectionID=20
I0723 14:27:59.191108       1 client.go:492] "Exiting remoteToProxy" connectionID=20
I0723 14:27:59.191220       1 client.go:534] "Exiting proxyToRemote" connectionID=20
I0723 14:27:59.191350       1 client.go:507] "connection EOF" connectionID=13
I0723 14:27:59.191498       1 client.go:492] "Exiting remoteToProxy" connectionID=13
I0723 14:27:59.191603       1 client.go:534] "Exiting proxyToRemote" connectionID=13
I0723 14:27:59.191809       1 client.go:507] "connection EOF" connectionID=14
I0723 14:27:59.192199       1 client.go:492] "Exiting remoteToProxy" connectionID=14
I0723 14:27:59.192377       1 client.go:534] "Exiting proxyToRemote" connectionID=14
E0723 14:28:02.926787       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:59986->10.244.1.5:4443: use of closed network connection" connectionID=19
I0723 14:28:02.927099       1 client.go:534] "Exiting proxyToRemote" connectionID=19
E0723 14:28:02.926813       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:59986->10.244.1.5:4443: use of closed network connection" connectionID=19
I0723 14:28:02.927522       1 client.go:492] "Exiting remoteToProxy" connectionID=19
I0723 14:28:05.275052       1 client.go:507] "connection EOF" connectionID=16
I0723 14:28:05.275324       1 client.go:492] "Exiting remoteToProxy" connectionID=16
I0723 14:28:05.275460       1 client.go:534] "Exiting proxyToRemote" connectionID=16
I0723 14:28:05.325799       1 client.go:507] "connection EOF" connectionID=14
I0723 14:28:05.326145       1 client.go:492] "Exiting remoteToProxy" connectionID=14
I0723 14:28:05.326239       1 client.go:534] "Exiting proxyToRemote" connectionID=14
I0723 14:28:05.365214       1 client.go:507] "connection EOF" connectionID=2
I0723 14:28:05.365237       1 client.go:507] "connection EOF" connectionID=1
I0723 14:28:05.365840       1 client.go:492] "Exiting remoteToProxy" connectionID=1
I0723 14:28:05.366025       1 client.go:534] "Exiting proxyToRemote" connectionID=1
I0723 14:28:05.366375       1 client.go:492] "Exiting remoteToProxy" connectionID=2
I0723 14:28:05.366415       1 client.go:534] "Exiting proxyToRemote" connectionID=2
I0723 14:28:05.383816       1 client.go:507] "connection EOF" connectionID=8
I0723 14:28:05.384145       1 client.go:492] "Exiting remoteToProxy" connectionID=8
I0723 14:28:05.384177       1 client.go:534] "Exiting proxyToRemote" connectionID=8
E0723 14:28:34.735892       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:41272->10.224.0.6:10249: use of closed network connection" connectionID=15
I0723 14:28:34.736051       1 client.go:492] "Exiting remoteToProxy" connectionID=15
I0723 14:28:34.735958       1 client.go:534] "Exiting proxyToRemote" connectionID=15
